School System Code,School System Name,Site Code,Site Name,2021-2022 Student Count,2021-2022 Average Composite Score
001,Acadia Parish,001005,Church Point High School,101,16.9
001,Acadia Parish,001007,Crowley High School,109,16.9
001,Acadia Parish,001017,Midland High School,56,17.3
001,Acadia Parish,001021,Rayne High School,140,17.6
001,Acadia Parish,001034,Iota High School,142,19.4
JUV,Juvenile Site,001036,AMIKids Acadiana,<10,~
002,Allen Parish,002001,Elizabeth High School,24,18.3
002,Allen Parish,002002,Fairview High School,17,17.5
002,Allen Parish,002004,Kinder High School,95,18.7
002,Allen Parish,002006,Oakdale High School,53,18.8
002,Allen Parish,002009,Oberlin High School,29,17.1
002,Allen Parish,002010,Reeves High School,<10,~
003,Ascension Parish,003003,Donaldsonville High School,95,15.1
003,Ascension Parish,003005,East Ascension High School,403,18.2
003,Ascension Parish,003014,St. Amant High School,512,19.8
003,Ascension Parish,003016,Dutchtown High School,592,21.2
004,Assumption Parish,004001,Assumption High School,184,16.8
005,Avoyelles Parish,005004,Bunkie Magnet High School,102,16.3
005,Avoyelles Parish,005016,Marksville High School,72,14.2
005,Avoyelles Parish,005018,Avoyelles High School,88,14.8
005,Avoyelles Parish,005025,LA School for Ag Science,67,19.8
006,Beauregard Parish,006002,DeRidder High School,160,17.8
006,Beauregard Parish,006004,East Beauregard High School,41,17.5
006,Beauregard Parish,006008,Merryville High School,32,17.3
006,Beauregard Parish,006010,Singer High School,14,15.9
006,Beauregard Parish,006011,South Beauregard High School,90,18.8
007,Bienville Parish,007001,Arcadia High School,35,15.3
007,Bienville Parish,007003,Castor High School,36,18.1
007,Bienville Parish,007006,Gibsland-Coleman High School,21,16.8
007,Bienville Parish,007008,Ringgold High School,36,17.6
007,Bienville Parish,007009,Saline High School,23,21.3
008,Bossier Parish,008001,Airline High School,338,19.6
008,Bossier Parish,008006,Benton High School,330,20.5
008,Bossier Parish,008009,Bossier High School,143,15.9
008,Bossier Parish,008017,Haughton High School,272,18.9
008,Bossier Parish,008020,Parkway High School,274,18.6
008,Bossier Parish,008022,Plain Dealing High School,23,16.2
009,Caddo Parish,009008,C.E. Byrd High School,341,21.5
009,Caddo Parish,009012,Caddo Parish Magnet High School,219,25.9
009,Caddo Parish,009013,Captain Shreve High School,375,19.2
009,Caddo Parish,009025,Green Oaks Performing Arts Academy,69,15.3
009,Caddo Parish,009031,Huntington High School,197,15.3
009,Caddo Parish,009042,North Caddo High School,69,16.7
009,Caddo Parish,009045,Northwood High School,230,17
009,Caddo Parish,009059,Southwood High School,300,15.7
009,Caddo Parish,009069,Booker T. Washington New Technology High School,168,14
009,Caddo Parish,009073,Woodlawn Leadership Academy,112,13.9
009,Caddo Parish,009104,Academic Recovery Ombudsman,10,13.4
009,Caddo Parish,009106,Magnolia School of Excellence,29,15.7
009,Caddo Parish,009108,Pathways in Education-Louisiana Inc.,52,15.7
009,Caddo Parish,009110,Caddo Virtual Academy,32,17.9
010,Calcasieu Parish,010003,Alfred M. Barbe High School,405,19.9
010,Calcasieu Parish,010004,Bell City High School,52,17.8
010,Calcasieu Parish,010014,DeQuincy High School,77,17.5
010,Calcasieu Parish,010025,Sam Houston High School,277,19.1
010,Calcasieu Parish,010026,Iowa High School,131,17.5
010,Calcasieu Parish,010033,LaGrange High School,154,15.9
010,Calcasieu Parish,010051,Starks High School,27,17.1
010,Calcasieu Parish,010052,Sulphur High School,373,18.5
010,Calcasieu Parish,010056,Vinton High School,64,17.2
010,Calcasieu Parish,010058,Washington/Marion Magnet High School,104,15.2
010,Calcasieu Parish,010064,Westlake High School,112,17.2
011,Caldwell Parish,011001,Caldwell Parish High School,88,16.1
012,Cameron Parish,012003,Grand Lake High School,57,19.6
012,Cameron Parish,012004,Hackberry High School,13,16.3
012,Cameron Parish,012007,South Cameron High School,16,16.8
013,Catahoula Parish,013001,Block High School,41,15.3
013,Catahoula Parish,013002,Central High School,<10,~
013,Catahoula Parish,013005,Harrisonburg High School,15,18.1
013,Catahoula Parish,013011,Sicily Island High School,20,15.6
014,Claiborne Parish,014004,Haynesville Jr./Sr. High School,28,15.2
014,Claiborne Parish,014007,Homer High School,53,14
014,Claiborne Parish,014011,Summerfield High School,20,16.7
015,Concordia Parish,015002,Ferriday High School,79,15.3
015,Concordia Parish,015006,Monterey High School,31,19.3
015,Concordia Parish,015008,Vidalia High School,73,18.6
015,Concordia Parish,015014,Concordia Education Center,<10,~
016,DeSoto Parish,016004,Logansport High School,43,16.7
016,DeSoto Parish,016007,Mansfield High School,91,15.9
016,DeSoto Parish,016010,Stanley High School,31,18.8
016,DeSoto Parish,016012,North DeSoto High School,174,19.4
017,East Baton Rouge Parish,017001,Arlington Preparatory Academy,11,12.8
017,East Baton Rouge Parish,017008,Baton Rouge Magnet High School,371,25.8
017,East Baton Rouge Parish,017010,Belaire High School,113,13.8
017,East Baton Rouge Parish,017016,Broadmoor Senior High School,177,14.2
017,East Baton Rouge Parish,017038,Glen Oaks Senior High School,78,13.7
017,East Baton Rouge Parish,017045,Istrouma High School,140,13.5
017,East Baton Rouge Parish,017056,McKinley Senior High School,189,15.3
017,East Baton Rouge Parish,017063,Northdale Superintendent's Academy,16,14.6
017,East Baton Rouge Parish,017065,Northeast High School,57,15.6
017,East Baton Rouge Parish,017079,Scotlandville Magnet High School,201,14.5
017,East Baton Rouge Parish,017088,Tara High School,139,14.8
017,East Baton Rouge Parish,017092,EBR Readiness Superintendent Academy,11,13.5
017,East Baton Rouge Parish,017102,Woodlawn High School,289,16.7
017,East Baton Rouge Parish,017133,Helix Mentorship STEAM Academy,96,16
017,East Baton Rouge Parish,017138,Liberty High School,246,21.3
017,East Baton Rouge Parish,017147,EBR Virtual Academy,62,16.6
018,East Carroll Parish,018002,General Trass High School,59,14.2
019,East Feliciana Parish,019014,East Feliciana High School,56,15.9
019,East Feliciana Parish,019015,Slaughter Community Charter School,41,19.5
020,Evangeline Parish,020001,Basile High School,49,17.9
020,Evangeline Parish,020008,Mamou High School,88,18.6
020,Evangeline Parish,020010,Pine Prairie High School,96,18
020,Evangeline Parish,020014,Ville Platte High School,102,16.7
021,Franklin Parish,021007,Franklin Parish High School,140,16
022,Grant Parish,022004,Georgetown High School,19,18.1
022,Grant Parish,022005,Grant High School,144,17.6
022,Grant Parish,022006,Montgomery High School,25,16.8
023,Iberia Parish,023007,Delcambre High School,68,19.1
023,Iberia Parish,023015,Jeanerette Senior High School,46,15.4
